Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6989252.58,411631.16,1221488.10,3254,0,3317,0,8179,0,720,0,45,0.7474784786113751,7416
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,13444406.03,431044.48,133660.00,5259,0,2901,0,10517,0,1269,0,51,0.9205224602968511,13464
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,3824186.54,33372.91,15300.00,619,0,666,0,1790,0,115,0,10,0.6601144504763892,1560
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6488799.80,4063570.06,4265082.00,3059,0,1011,0,7139,0,1334,0,32,0.9680974319877247,12600
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4253883.55,1640695.74,3087477.00,1247,0,470,0,3252,0,580,0,46,0.4483954215979522,10632
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,272017.98,222220.18,1028635.00,301,0,72,0,668,0,202,0,5,0.9731736518288471,2064
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1024036.22,867983.90,305083.35,677,0,290,0,1610,0,261,0,24,0.8798642329002782,2532
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1559943.82,847173.32,334976.83,745,0,214,0,1765,0,267,0,22,0.8649010300437955,2916
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1414329.12,339210.81,288760.52,511,0,151,0,1031,0,196,0,20,0.8867889446450644,1644
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,11210361.02,0.00,0,5024,0,2421,0,11037,0,1747,47,0.981526294607223,21048
